Price,Open,High,Low,Vol.,Change %,XGB_Predictions,Arima_Predictions,LSTM_Predictions
63.787,65.923,66.32600000000001,61.69,7.82M,-3.23%,63.271189381361,66.54937936291694,64.49276494932175
62.332,63.799,64.447,61.045,9.45M,-2.28%,61.816189381361,68.49031079438745,62.949599964141846
73.705,62.308,74.613,62.084,10.44M,18.25%,73.189189381361,70.27002041342412,74.46748133182525
76.375,73.751,76.961,71.414,8.21M,3.62%,75.859189381361,71.33295487771075,77.51632630825043
73.376,76.225,77.061,68.289,9.78M,-3.93%,72.86018938136101,71.78333509863573,74.07167859172822
81.527,73.354,83.186,71.48899999999998,9.07M,11.11%,81.011189381361,71.49271558989987,82.92884760093689
82.505,81.52,85.51799999999999,80.101,8.70M,1.20%,81.989189381361,71.99819776503539,83.18628150701522
87.48200000000001,82.579,88.37899999999998,80.488,8.95M,6.03%,0.0,66.83181615297804,0.0
